Name,Price,URL,Image_URL,Category,Description
Women's BalancePlus 403 Series Curling Shoes,Regular price$209.95,https://thecurlingstore.com/collections/footwear/products/womens-balanceplus-403-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.24_PM_300x300.jpg?v=1559330751,Footwear,Athletic styling with specific detail to performance. The 403 Series is designed for the club and competitive curler.
Asham Gripper Disk,Regular price$23.95,https://thecurlingstore.com/collections/footwear/products/asham-gripper-disk,https://thecurlingstore.com/cdn/shop/products/ASHAM_Gripper_Di_4e45b6ebc0ac2_500x500_5c098029d4fe1-jpg-keep-ratio_300x300.jpeg?v=1558969362,Footwear,Designed for use with Asham or Hardline shoes featuring the Rotator Disk System RDS.
Women's Asham Club Ultra Lite Curling Shoes,Regular price$219.95,https://thecurlingstore.com/collections/footwear/products/womens-asham-club-ultra-lite-curling-shoes,https://thecurlingstore.com/cdn/shop/products/ClubRotatorMen_sCurlingShoeSide_1024x1024_18d9de10-ee78-4393-bd09-86e1647d5732_300x300.png?v=1634516375,Footwear,Ready to play and a great shoe for curlers of all ages.
Men's Goldline Chinook Gen 2 Curling Shoes,Regular price$189.95,https://thecurlingstore.com/collections/footwear/products/mens-goldline-chinook-gen-2-curling-shoes,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear,The second generation of Goldline's most popular shoe line.
Goldline Slip On Slider,Regular price$34.95,https://thecurlingstore.com/collections/footwear/products/goldline-slip-on-slider,https://thecurlingstore.com/cdn/shop/products/SLIDE-SLP_01-02_1_300x300.png?v=1668523485,Footwear,Worn over your street shoes as a temporary slider.
Men’s BalancePlus 400 Stick Curling Shoes,Regular price$144.95,https://thecurlingstore.com/collections/footwear/products/men-s-balanceplus-400-stick-curling-shoes,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.29_PM_e708631b-4ff0-4750-a621-c1f2b64b7297_300x300.jpg?v=1559331192,Footwear,Athletic styling with specific detail to performance. The 400 Series stick curling shoe is designed for use in stick curling.
Men's Goldline Cyclone Gen 2 Curling Shoes,Regular price$269.95,https://thecurlingstore.com/collections/footwear/products/mens-goldline-cyclone-gen-2-curling-shoes,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear,The second generation of Goldline's most popular shoe line.
BalancePlus Gripper Pods (set of two),Regular price$34.95,https://thecurlingstore.com/collections/footwear/products/balanceplus-gripper-pods-set-of-two,https://thecurlingstore.com/cdn/shop/products/Image_2019-05-31_at_4.16_PM_300x300.jpg?v=1559330242,Footwear,Gripper pods with Velcro for use with BalancePlus shoes.
Men's Goldline Momentum Rush Gen 2 Curling Shoes,Regular price$244.95,https://thecurlingstore.com/collections/footwear/products/mens-goldline-momentum-rush-curling-shoes,https://thecurlingstore.com/cdn/shop/files/MRSH2-M_01-01_300x300.png?v=1725316608,Footwear,"Designed by Curlers, for Curlers: Crafted with input from seasoned curlers to meet the specific needs of the sport."
Women's BalancePlus 704 Series Curling Shoes,Regular price$239.95,https://thecurlingstore.com/collections/footwear/products/womens-balanceplus-704-series-curling-shoes,https://thecurlingstore.com/cdn/shop/products/ls-grey_8b0ce1e4-6344-43a3-b392-c1a16b348768_300x300.png?v=1666572928,Footwear,"The lightweight, flexible and breathable sport-style curling shoe is a great addition to the LiteSpeedcollection of products."
Asham Junior Curling Shoes,Regular price$159.95,https://thecurlingstore.com/collections/footwear/products/asham-junior-curling-shoes,https://thecurlingstore.com/cdn/shop/products/club-shoe-full_r_1000x1000_d2e2c418-cca0-475f-a154-461682d252e3_300x300.jpg?v=1599833192,Footwear,Ready to play and a great shoe for youth curlers.
Women's Goldline Cyclone Curling Shoes,Regular price$259.95,https://thecurlingstore.com/collections/footwear/products/womens-goldline-cyclone-curling-shoes,https://cdn.shopify.com/s/files/1/0094/8803/9998/files/sale-icon.png?6550,Footwear,A great new look and style.
Toe Coating Application,Regular price$25.00,https://thecurlingstore.com/collections/footwear/products/toe-coating-application,https://thecurlingstore.com/cdn/shop/products/Toe_Coat_Applica_4e8260ef6cc9c_500x500_5c07eb9ebe06a-jpeg-keep-ratio_300x300.jpeg?v=1557231997,Footwear,Reduce drag and protect your shoe.
Women's Goldline Chinook Gen 2 Curling Shoes,Regular price$189.95,https://thecurlingstore.com/collections/footwear/products/womens-goldline-chinook-gen-2-curling-shoes,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear,The second generation of Goldline's most popular shoe line.
Men's Goldline Storm Gen 2 Curling Shoes,Regular price$229.95,https://thecurlingstore.com/collections/footwear/products/mens-goldline-storm-gen-2-curling-shoes,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear,The second generation of Goldline's most popular shoe line.
